Abstracts of Papers, 221st ACS National Meeting, San Diego, CA, United States, April 1-5, 2001
Abstracts of Papers, 222nd ACS National Meeting, Chicago, IL, United States, August 26-30, 2001
Abstracts of Papers, 225th ACS National Meeting, New Orleans, LA, United States, March 23-27, 2003
Abstracts of Papers, 230th ACS National Meeting, Washington, DC, United States, Aug. 28-Sept. 1, 2005
Accounts of Chemical Research	Acc. Chem. Res.
Angewandte Chemie, International Edition in English	Angew. Chem. Int. Ed.
Angewandte Chemie, International Edition in English	Angew. Chem. Int. Ed. Engl.
Angewandte Chemie, International Edition	Angew. Chem. Int. Ed.
Angewandte Makromolekulare Chemie	Angew. Makromol. Chem.
Annales de Chimie - Science des Materiaux	Ann. Chim. - Sci. Mat.
Annali di Chimica	Anal. Chim.
Annali di Chimica	Ann. Chim. (Rome)
Annals of Clinical Biochemistry	Ann. Clin. Biochem.
Annals of the New York Academy of Sciences	Ann. N.Y. Acad. Sci.
Annual Reports in Medicinal Chemistry	Annu. Rep. Med. Chem.
Annual Reports on the Progress of Chemistry, Section A: Inorganic Chemistry	Annu. Rep. Prog. Chem. Sect. A: Inorg. Chem.
Annual Reports on the Progress of Chemistry, Section B: Organic Chemistry	Annu. Rep. Prog. Chem. Sect. B: Org. Chem.
Annual Reports on the Progress of Chemistry, Section C: Physical Chemistry	Annu. Rep. Prog. Chem. Sect. C: Phys. Chem.
Annual Review of Biochemistry	Annu. Rev. Biochem
Annual Review of Biophysics and Biomolecular Structure	Annu. Rev. Biophys. Biomol. Struct.
Annual Review of Cell and Developmental Biology	Annu. Rev. Cell Dev. Biol.
Annual Review of Energy and the Environment	Annu. Rev. Energy Env.
Annual Review of Materials Science	Annu. Rev. Mater. Sci.
Annual Review of Pharmacology and Toxicology	Annu. Rev. Pharmacool. Toxicol.
Annual Review of Physical Chemistry	Annu. Rev. Phys. Chem.
Anti-Cancer Drug Design	Anti-Cancer Drug Des.
Anticancer Research	Anticancer Res.
Antimicrobial Agents and Chemotherapy	Antimicrob. Agents Chemother.
Antisense and Nucleic Acid Drug Development	Antisense Nucleic Acid Drug Dev.
Antiviral Chemistry and Chemotherapy	Antiviral Chem. Chemother.
Appita Journal	Appita J.
Applied and Environment Microbiology	Appl. Environ. Microbiol.
Applied Biochemistry and Biotechnology	Appl. Biochem. Biotechnol.
Applied Catalysis A	Appl. Catal., A
Applied Catalysis B	Appl. Catal., B
Applied Composite Materials	Appl. Compos. Mater.
Applied Geochemistry	Appl. Geochem.
Applied Magnetic Resonance	Appl. Magn. Reson.
Applied Microbiology and Biotechnology	Appl. Microbiol. Biotechnol.
Applied Optics	Appl. Opt.
Applied Organometallic Chemistry	Appl. Organomet. Chem.
Applied Physics A	Appl. Phys. A
Applied Physics B	Appl. Phys. B
Applied Physics Letters	Appl. Phys. Lett.
Applied Radiation and Isotopes	Appl. Radiat. Isot.
Applied Scientific Research	Appl. Sci. Res.
Applied Spectroscopy	Appl. Spectrosc.
Applied Superconductivity	Appl. Supercond.
Applied Surface Science	Appl. Surf. Sci.
Applied Thermal Engineering	Appl. Therm. Eng.
Aquatic Toxicology	Aquat. Toxicol.
Archiv der Pharmazie	Arch. Pharm.
Archives of Biochemistry and Biophysics	Arch. Biochem. Biophys.
Archives of Environment Contamination and Toxicology	Arch. Environ. Contam. Toxicol.
Archives of Environment Health	Arch. Environ. Health
Archives of Insect Biochemistry and Physiology	Arch. Insect Biochem. Physiol.
Archives of Microbiology	Arch. Microbiol.
Archives of Pharmacal Research	Arch. Pharmacal Res.
Archives of Physiology and Biochemistry	Arch. Physiol. Biochem.
Archives of Toxicology	Arch. Toxicol.
Archives of Virology	Arch. Virol
Artificial Cells Blood Substitutes and Immobilization Biotechnology	Artif. Cells, Blood Substitues, Immobilization Biotechnol.
Arzneimittel-Forschung/Drug Research	Arzneim.-Forsch.
Asian Journal of Chemistry	Asian J. Chem.
Asian Journal of Spectroscopy	Asian J. Spectro.
ASTM Specical Technical Publication	ASTM Spec. Tech. Publ.
Astronomy and Astrophysics	Astron. Astrophys.
Astronomy Journal	Astron. J.
Astrophysics Journal	Astrophys J.
Atmospheric Environment	Atmos. Environ.
Atomic Data and Nuclear Data Tables	At. Data Nucl. Data Tables
Atomic Energy	At. Energ.
Atomic Spectroscopy	At. Spectrosc.
Atomization and Sprays	Atomization Sprays
Australian Journal of Chemistry	Aust. J. Chem.
Behavioural Pharmacology	Behav. Pharmacol.
Berichte der Bunsen-Gesellschaft Physical Chemistry Chemical Physics	Ber. Bunsen-Ges. Phys. Chem
Biocatalysis and Biotransformation	Biocatal. Biotransform.
Biochemical and Biophysical Research Communications	Biochem. Biophys. Res. Commun.
Biochemical and Molecular Medicine	Biochem. Mol. Med.
Biochemical Archives	Biochem. Arch.
Biochemical Engineering Journal	Biochem. Eng. J.
Biochemical Genetics	Biochem. Genet.
Biochemical Journal	Biochem. J
Biochemical Medicine and Metabolic Biology	Biochem. Med. Metab. Biol.
Biochemical Pharmacology	Biochem. Pharmacol.
Biochemical Society Symposium	Biochem. Soc. Symp.
Biochemical Society Transactions	Biochem. Soc. Trans.
Biochemical Systematics and Ecology	Biochem. Syst. Ecol.
Biochemistry and Cell Biology-Biochimie et Biologie Cellulaire	Biochem. Cell Biol.
Biochemistry and Molecular Biology International	Biochem. Mol. Biol. Int.
Biochimica et Biophysica Acta	Biochim. Biophys. Acta
Bioconjugate Chemistry	Bioconjugate Chem.
Bioelectrochemistry and Bioenergetics	Bioelectrochem. Bioenerg.
Biogenic Amines	Biog. Amines
Biological and Pharmaceutical Bulletin	Biol. Pharm. Bull.
Biological Chemistry	Biol. Chem.
Biological Chemistry Hoppe-Seyler	Biol. Chem. Hoppe-Seyler
Biological Membranes	Biol. Membr.
Biological Trace Element Research	Biol. Trace Elem. Res.
Biomass and Bioenergy	Biomass Bioenergy
Biomedical Chromatography	Biomed. Chromatogr.
Bio-Medical Materials and Engineering	Bio-Med. Mater. Eng.
Biomedical Microdevices	Biomed. Microdevices
Biomolecular Engineering	Biomol. Eng
Bioorganic & Medicinal Chemistry Letters	Bioorg. Med. Chem. Lett.
Bioorganic & Medicinal Chemistry Letters	Biorg. Med. Chem. Lett.
Bioorganic & Medicinal Chemistry	Biorg. Med. Chem.
Bioorganic and Medicinal Chemistry	Bioorg. Med. Chem.
Bioorganic and Medicinal Chemistry Letters	Bioorg. Med. Chem. Lett.
Bioorganic Chemistry	Bioorg. Chem.
Bioorganicheskaya Khimiya	Bioorg. Khim
Biopharmaceutics and Drug Disposition	Biopharm. Drug Dispos.
Biophysical Chemistry	Biophys. Chem.
Biophysical Journal	Biophys. J.
Bioprocess Engineering	Bioprocess. Eng.
Bioremediation Journal	Biorem. J.
Bioresource Technology	Bioresour. Technol.
Bioscience Biotechnology and Biochemistry	Biosci., Biotechnol., Biochem.
Bioscience Reports	Biosci. Rep.
Biosensors and Bioelectronics	Biosens. Bioelectron.
Biotechnic and Histochemistry	Biotech. Histochem.
Biotechnology Advances	Biotechnol. Adv.
Biotechnology and Applied Biochemistry	Biotechnol. Appl. Biochem.
Biotechnology and Bioengineering	Biotechnol. Bioeng.
Biotechnology and Biotechnological Equipment	Biotechnol. Biotechnol. Equip.
Biotechnology Letters	Biotechnol. Lett
Biotechnology Progress	Biotechnol. Progr.
Biotechnology Techniques	Biotechnol. Tech.
Boletin de la Sociedad Chilena de Quimica	Bol. Soc. Chil. Quim.
Book of Abstracts, 219th ACS National Meeting, San Francisco, CA, March 26-30, 2000
Brennstoff-Warme-Kraft	Brennst.-Warme-Kraft
British Ceramic Transactions	Br. Ceram. Trans.
British Corrosion Journal	Br. Corros. J.
British Jornal of Pharmacology	Br. J. Pharmacol.
Bulletin de la Societe Chimique de France	Bull. Soc. Chim. Fr.
Bulletin des Societes Chimiques Belges	Bull. Soc. Chim. Belg.
Bulletin for the History of Chemistry	Bull. Hist. Chem.
Bulletin of Electrochemistry	Bull. Electrochem.
Bulletin of Environment Contamination and Toxicology	Bull. Environ. Contam. Toxicol.
Bulletin of Experimental Biological Medicine	Bull. Exp. Biol. Med.
Bulletin of Materials Science	Bull. Mater. Sci.
Bulletin of the Chemical Society of Japan	Bull. Chem. Soc. Jpn.
Bulletin of the Korean Chemical Society	Bull. Korean Chem. Soc.
Bulletin of the Polish Academy of Sciences Chemistry	Bull. Pol. Acad. Sci., Chem.
Cahiers d'Informations Techniques / Revue de Metallurgie	Cah. Inf. Tech./Rev Metall
Calphad - Computer Coupling of Phase Diagrams and Thermochemistry	Calphad
Canadian Ceramics Quarterly	Can. Ceram. Q.
Canadian Journal of Analytical Sciences and Spectroscopy	Can. J. Anal. Sci. Spectros.
Canadian Journal of Biochemistry	Can. J. Biochem.
Canadian Journal of Chemical Engineering	Can. J. Chem. Eng.
Canadian Journal of Chemistry	Can. J. Chem.
Canadian Journal of Microbiology	Can. J. Microbiol.
Canadian Journal of Physics	Can. J. Phys.
Canadian Journal of Physiology and Pharmacology	Can. J. Physiol. Pharmacol.
Canadian Metallurgical Quarterly	Can. Metall. Q.
Canadian Mineralogist	Can. Mineral.
Canadian Mining Journal	Can. Min. J.
Carbohydrate Chemistry	Carbohydr. Chem.
Carbohydrate Letters	Carbohydr. Lett.
Carbohydrate Polymers	Carbohydr. Polym.
Carbohydrate Research	Carbohydr. Res.
Catalysis Communications	Catal. Commun.
Catalysis Letters	Catal. Lett.
Catalysis Reviews - Science and Engineering	Cat. Rev. - Sci. Eng.
Catalysis Today	Catal. Today
Cell Biochemistry and Function	Cell Biochem. Funct.
Cellular Physiology and Biochemistry	Cell. Physiol. Biochem.
Cellular Polymers	Cell. Polym.
Cellulose Chemistry and Technology	Cellul. Chem. Technol.
Cement and Concrete Composites	Cem. Concr. Compos.
Cement and Concrete Research	Cem. Concr. Res.
Ceramic Transactions	Ceram. Trans.
Ceramics - Silikaty	Ceram. Silik.
Ceramics International	Ceram. Int.
Cereal Chemistry	Cereal Chem.
Chemia Analityczna	Chem. Anal. (Warsaw)
Chemical and Biochemical Engineering Quarterly	Chem. Biochem. Eng. Q.
Chemical and Engineering News	Chem. Eng. News
Chemical and Pharmaceutical Bulletin	Chem. Pharm. Bull.
Chemical Communications	Chem. Commun.
Chemical Communications (Cambridge)
Chemical Engineer (London)	Chem. Eng. (London)
Chemical Engineering (New York)	Chem. Eng. (New York)
Chemical Engineering and Processing	Chem. Eng. Process.
Chemical Engineering and Technology	Chem. Eng. Technol.
Chemical Engineering Communications	Chem. Eng. Commun.
Chemical Engineering Journal	Chem. Eng. J.
Chemical Engineering Progress	Chem. Eng. Prog.
Chemical Engineering Research and Design	Chem. Eng. Res. Des.
Chemical Engineering Science	Chem. Eng. Sci.
Chemical Fibers International	Chem. Fibers Int.
Chemical Geology	Chem. Geol.
Chemical Papers - Chemicke Zvesti	Chem. Pap. - Chem. Zvesti
Chemical Physics	Chem. Phys.
Chemical Physics Letters	Chem. Phys. Lett.
Chemical Processing	Chem. Process.
Chemical Research in Toxicology	Chem. Res. Toxicol.
Chemical Reviews	Chem. Rev.
Chemical Reviews (Washington, D. C.)	Chem. Rev.
Chemical Reviews (Washington, DC)	Chem. Rev.
Chemical Reviews (Washington, DC, United States)	Chem. Rev.
Chemical Senses	Chem. Senses
Chemical Society Reviews	Chem. Soc. Rev.
Chemical Speciation and Bioavailability	Chem. Speciation Bioavailability
Chemical Vapor Deposition	Chem. Vap. Deposition
Chemical Week	Chem. Week
Chemicke Listy	Chem. Listy
Chemico-Biological Interactions	Chem. Biol. Interact.
Chemie Anlagen und Verfahren	Chem. -Anlagen Verfahren
Chemie in unserer Zeit	Chem. unserer Zeit
Chemie Ingenieur Technik	Chem. Ing. Tech.
Chemische Berichte	Chem. Ber.
Chemische Berichte-Recueil	Chem. Ber. Recl.
Chemische Technik	Chem. Tech. (Leipzig)
Chemistry- A European Journal	Chem. Eur. J.
Chemistry and Industry	Chem. Ind. (London)
Chemistry and Physics of Carbon	Chem. Phys. Carbon
Chemistry and Physics of Lipids	Chem. Phys. Lipids
Chemistry and Technology of Fuels and Oils	Chem. Technol. Fuels Oils
Chemistry Express	Chem. Express
Chemistry in Australia	Chem. Aust.
Chemistry in Britain	Chem. Br.
Chemistry Letters	Chem. Lett.
Chemistry of Heterocyclic Compounds	Chem. Heterocycl. Compd.
Chemistry of Materials	Chem. Mater.
Chemistry of Natural Compounds	Chem. Nat. Compd.
Chemistry--A European Journal	Chem. Eur. J.
Chemometrics and Intelligent Laborary Systems	Chemom. Intell. Lab. Syst.
ChemTech	Chem. Tech.
Chemtracts
Chimica Oggi
Chinese Chemical Letters	Chin. Chem. Lett.
Chinese Journal of Chemical Engineering	Chin. J. Chem. Eng.
Chinese Journal of Chemistry	Chin. J. Chem .
Chinese Journal of Nuclear Physics	Chin. J. Nucl. Phys.
Chinese Journal of Polymer Science	Chin. J. Polym. Sci.
Chinese Science Bulletin	Chin. Sci. Bull.
Chromatographic Science Series	Chromatogr. Sci. Ser.
CIM Bulletin	CIM Bull.
Clays and Clay Minerals	Clays Clay Miner.
Clinica Chimica Acta	Clin. Chim. Acta
Clinical Biochemistry	Clin. Biochem.
Clinical Chemistry	Clin. Chem.
Collection of Czechoslovak Chemical Communications	Collect. Czech. Chem. Commun.
Colloid and Polymer Science	Colloid. Polym. Sci.
Colloid Journal	Colloid J.
Colloids and Surfaces A	Colloids Surf., A
Colloids and Surfaces B	Colloids Surf., B
Combinatorial Chemistry and High Throughput Screening	Comb. Chem. High Throughput Screening
Combustion and Flame	Combust. Flame
Combustion Science and Technology	Combust. Sci. Technol.
Comments on Inorganic Chemistry	Comments Inorg. Chem.
Comparative Biochemistry and Physiology A: Physiology	Comp. Biochem. Physiol. A: Physiol.
Comparative Biochemistry and Physiology B: Biochemistry and Molecular Biology	Comp. Biochem. Physiol. B: Biochem. Mol. Biol.
Comparative Biochemistry and Physiology C: Pharmacology Toxicology and Endocrinology	Comp. Biochem. Physiol. C: Pharmacol. Toxicol.
Composite Interfaces	Compos. Interfaces
Composite Structures	Compos. Struct.
Composites Engineering	Compos. Eng.
Composites Part A Applied Science and Manufacturing	Composites Part A
Composites Part B Engineering	Composites Part B
Composites Science and Technology	Compos. Sci. Technol.
Comptes Rendus de l' Academie des Sciences Serie IIa:Sciences de la Terre et des Planets	C.R. Acad. Sci., Ser. IIa: Sci. Terre Planets
Comptes Rendus de l' Academie des Sciences Serie IIb:Mecanique Physique Chimie Astronomie	C.R. Acad. Sci., Ser. IIb: Mec., Phys., Chim., Astron.
Comptes Rendus de l' Academie des Sciences Serie IIc:Chemie	C.R. Acad. Sci., Ser. IIc: Chim.
Comptes Rendus de l' Academie des Sciences Serie III: Sciences de la Vie	C.R. Acad. Sci., Ser. III
Computation Materials Science	Comput. Mater. Sci.
Computational and Theoretical Polymer Science	Comput. Theor. Polym. Sci.
Computer Physics Communications	Comput. Phys. Commun.
Computers and Chemical Engineering	Comput. Chem. Eng.
Computers and Chemistry	Comput. Chem. (Oxford)
Concepts in Magenetic Resonance	Concepts Magn. Reson.
Concrete Engineering International	Concr. Eng. Int.
Concrete International	Concr. Int.
Concrete Science and Engineering	Concr. Sci. Eng.
Condensed Matter Physics	Condens. Matter Phys.
Condensed Matter Theories	Condens. Matter Theor.
Continuum Mechanics and Thermodynamics	Continuum Mech. Thermodyn.
Contributions to Mineralogy and Petrology	Contrib. Mineral. Petrol.
Coordination Chemistry Reviews	Coord. Chem. Rev.
Corrosion Reviews	Corros. Rev.
Corrosion Science	Corros. Sci.
CPP Chemical Plants and Processing	CPP Chem. Plants and Process.
Critical Reviews in Analytical Chemistry	Crit. Rev. Anal. Chem.
Critical Reviews in Biochemistry and Molecular Biology	Crit. Rev. Biochem. Mol. Biol.
Critical Reviews in Biotechnology	Crit. Rev. Biotechnol.
Critical Reviews in Environment Science and Technology	Crit. Rev. Env. Sci. Technol.
Critical Reviews in Solid State and Materials Sciences	Crit. Rev. Solid State Mater. Sci.
Critical Reviews in Toxicology	Crit. Rev. Toxicol.
Croatica Chemica Acta	Croat. Chem. Acta
Crystal Engineering	Cryst. Eng.
Crystal Growth and Design	Cryst. Growth Des.
Crystal Research and Technology	Cryst. Res. Technol.
Current Opinion in Biotechnology	Curr. Opin. Biotechnol.
Current Opinion in Chemical Biology	Curr. Opin. Chem. Biol.
Current Opinion in Colloid and Interface Science	Curr. Opin. Colloid Interface Sci.
Current Opinion in Pharmacology	Curr. Opin. Pharmacol.
Current Opinion in Solid State and Materials Science	Curr. Opin. Solid State Mater. Sci.
Current Organic Chemistry	Curr. Org. Chem.
Current Plant Science in Biotechnology and Agriculture	Curr. Plant Sci. Biotechnol. Agric.
Current Topics in Medicinal Chemistry	Curr. Top. Med. Chem.
Current Topics in Membranes	Curr. Top. Membr.
Dental Materials	Dent. Mater.
Diamond and Related Materials	Diamond Relat. Mater.
Diamond Films and Technology	Diamond Films Technol.
Doklady Akademii Nauk	Dokl. Akad. Nauk
Drug and Chemical Toxicology	Drug Chem. Toxicol.
Drug Development and Industrial Pharmacy	Drug Dev. Ind. Pharm.
Drug Development Research	Drug Dev. Res.
Drug Discovery Today	Drug Discovery Today
Drying Technology	Drying Technol.
Earth and Planetary Science Letters	Earth. Planet. Sci. Lett.
Ecological Engineering	Ecol. Eng.
Economic Geology and the Bulletin of the Society of Economic Geologists	Econ. Geol.
Ecotoxicology and Environment Safety	Ecotoxicol. Environ. Saf.
Education in Chemistry	Educ. Chem.
Electro- and Magnetobiology	Electro- Magnetobiol.
Electrochemical and Solid-State Letters	Electrochem. Solid-State Lett.
Electrochemical Society Interface	Electrochem. Soc. Interface
Electrochemistry Communications	Electrochem. Commun.
Electrochimica Acta	Electrochim. Acta
Electronic Technology	Electron Technol.
Electronics Letters	Electron. Lett
EMBO Journal	EMBO J.
Energy and Fuels	Energy Fuels
Energy Conversion and Management	Energy Convers. Manage.
Engineering and Mining Journal	Eng. Min. J.
Environment Carcinogenesis and Ecotoxicology Reviews	Environ. Carcinog. Ecotoxicol. Rev.
Environmental Geochemistry and Health	Environ. Geochem. Health
Environmental Geology	Environ. Geol.
Environmental Health Perspectives	Environ. Health Perspect.
Environmental Microbiology	Environ. Microbiol.
Environmental Monitoring and Assessment	Environ. Monit. Assess.
Environmental Pollution	Environ. Pollut.
Environmental Progress	Environ. Prog.
Environmental Research	Environ. Res.
Environmental Science and Technology	Environ. Sci. Technol.
Environmental Technology	Environ. Technol.
Environmental Toxicology and Chemistry	Environ. Toxicol. Chem.
Environmental Toxicology and Pharmacology	Environ. Toxicol. Pharmacol.
Environmental Toxicology and Water Quality	Environ. Toxicol. Water Qual.
Enzyme and Microbial Technology	Enzyme Microb. Technol.
Enzyme and Protein	Enzyme Protein
Erdol and Kohle Erdgas, Petrochemie	Erdol and Kohle Erdgas, Petrochem.
European Journal of Biochemistry	Eur. J. Biochem.
European Journal of Clinical Chemistry and Clinical Biochemistry	Eur. J. Clin. Chem. Clin. Biochem.
European Journal of Inorganic Chemistry	Eur. J. Inorg. Chem.
European Journal of Lipid Science and Technology	Eur. J. Lipid Sci. Technol.
European Journal of Mass Spectrometry	Eur. J. Mass Spectrom.
European Journal of Medical Chemistry	Eur. J. Med. Chem.
European Journal of Mineralogy	Eur. J. Mineral.
European Journal of Organic Chemistry	Eur. J. Org. Chem.
European Journal of Pharmacology	Eur. J. Pharmacol.
European Journal of Solid State and Inorganic Chemistry	Eur. J. Solid State Inorg. Chem.
European Mass Spectrometry	Eur. Mass Spectrom.
European Polymer Journal	Eur. Polym. J.
Europhysics Letters	Europhys. Lett.
Experimental Thermal and Fluid Science	Exp. Therm Fluid Sci.
Experiments in Fluids	Exp. Fluids
Exploration and Mining Geology	Explor. Min. Geol.
Faraday Discussions	Faraday Discuss.
FASEB Journal	FASEB J.
Fatigue and Fracture of Engineering Materials and Structures	Fatigue Fract. Eng. Mater. Struct.
FEBS Letters	FEBS Lett.
FEMS Immunology And Medical Microbiology	FEMS Immunol. Med. Microbiol.
FEMS Microbiology Ecology	FEMS Microbiol. Ecol.
FEMS Microbiology Letters	FEMS Microbiol. Lett.
FEMS Microbiology Review	FEMS Microbiol. Rev.
Ferroelectrics Letters	Ferroelectr. Lett.
Ferroelectrics Review	Ferroelectr. Rev.
Fett - Lipid	Fett - Lipid
Fiber and Integrated Optics	Fiber Integr. Opt.
Field Analytical Chemistry and Technology	Field Anal. Chem. Technol.
Filtration and Separation	Filtr. Sep.
Fizika Metallov i Metallovedenie	Fiz. Met. Metalloved.
Fluid Phase Equilibria	Fluid Phase Equilib.
Fluid/Particle Separation Journal	Fluid/Part. Sep. J.
Folding and Design	Fold Des.
Food Additives and Contaminants	Food Addit. Contam.
Food and Chemical Toxicology	Food Chem. Toxicol.
Food Biotechnology	Food Biotechnol.
Food Chemistry	Food Chem.
Food Science and Technology International	Food Sci. Technol. Int.
Free Radical Biology and Medicine	Free Radical Biol. Med.
Free Radical Research	Free Radical Res.
Fresenius Environment Bulletin	Fresenius Environ. Bull.
Fresenius Journal of Analytical Chemistry	Fresenius J. Anal. Chem.
Frontier Science Series	Front Sci. Ser.
Fuel Processing Technology	Fuel Process. Technol.
Fuel Science and Technology International	Fuel Sci. Technol. Int.
Fullerene Science and Technology	Fullerene Sci. Technol.
Functional and Integrative Genomics	Funct. Integr. Genomics
Fundamental and Applied Toxicology	Fundam. Appl. Toxicol.
Fusion Engineering and Design	Fusion Eng. Des.
Fusion Technology	Fusion Technol.
Galvanotechnik	Galvanotechnik
Gas Separation and Purification	Gas Sep. Purif.
Gazzetta Chimica Italiana	Gazz. Chim. Ital.
Gefahrstoffe Reinhaltung der Luft	Gefahrstoffe - Reinhalt. Luft
Genetic Analysis - Biomolecular Engineering	Genet. Anal. - Biomol. Eng.
Geochemical Journal	Geochem. J.
Geochemical Transactions	Geochem. Trans.
Geochemistry, Geophysics, Geosystems	Geochem. Geophys. Geosyst.
Geochemistry: Exploration, Environment, Analysis	Geochem.: Explor. Environ., Anal.
Geochimica et Cosmochimica Acta	Geochim. Cosmochim. Acta
Geologiya i Geofizika	Geol Geofiz
Geomicrobiology Journal	Geomicrobiol. J.
GIT Labor-Fachzeitschrift
Glass and Ceramics	Glass Ceram.
Glass Physics and Chemistry	Glass Phys. Chem
Glass Research	Glass Res.
Glass Science and Technology	Glass Sci. Technol.
Glass Technology	Glass Technol.
Global Biogeochemical Cycles	Global Biogeochem. Cycles
Global Journal of Pure and Applied Sciences	Global J. Pure Appl. Sci.
Glycoconjugate Journal	Glycoconjugate J.
Greem Chemistry	Green Chem.
Ground Water Monitoring and Remediation	Ground Water Monit. Rem.
Handbook of Experimental Pharmacology	Handb. Exp. Pharmacol.
Handbook of Organopalladium Chemistry for Organic Synthesis
Hazardous Waste and Hazardous Materials	Hazard. Waste Hazard. Mater.
Health Physics	Health Phys.
Heat and Mass Transfer	Heat Mass Transfer.
Heat Treatment of Metals	Heat Treat. Met.
