AACN Clinical Issues	AACN Clin. Issues	AACN Clin Issues	
Acta Crystallographica. Section B: Structural Crystallography and Crystal Chemistry	Acta Crystallogr. B.	Acta Crystallogr B	Acta Crystallographica. Section B: Structural Crystallography & Crystal Chemistry
Acta Crystallographica. Section B, Structural Science	Acta Crystallogr. B.	Acta Crystallogr B	
Acta Crystallographica. Section C. Crystal Structure Communications	Acta Crystallogr. C.	Acta Crystallogr C	
Acta Crystallographica. Section D: Biological Crystallography	Acta Crystallogr. D. Biol. Crystallogr.	Acta Crystallogr D Biol Crystallogr	
Acta Cytologica	Acta Cytol.	Acta Cytol	
Acta de Odontologia Pediatrica	Acta Odontol. Pediatr.	Acta Odontol Pediatr	
Acta Dermato-Venereologica	Acta Derm. Venereol.	Acta Derm Venereol	
Acta Dermato-Venereologica. Supplementum	Acta Derm. Venereol. Suppl. (Stockh).	Acta Derm Venereol Suppl (Stockh)	
Acta Dermatologica-Kyoto. English Edition	Acta Dermatol. Kyoto. Engl. Ed.	Acta Dermatol Kyoto Engl Ed	
Acta Diabetologica	Acta Diabetol.	Acta Diabetol	
Acta Diabetologica Latina	Acta Diabetol. Lat.	Acta Diabetol Lat	
Acta Embryologiae et Morphologiae Experimentalis	Acta Embryol. Morphol. Exp.	Acta Embryol Morphol Exp	
Acta Embryologiae Experimentalis	Acta Embryol. Exp. (Palermo).	Acta Embryol Exp (Palermo)	
Acta Endocrinologica	Acta Endocrinol. (Copenh).	Acta Endocrinol (Copenh)	
Acta Endocrinologica. Supplementum	Acta Endocrinol. Suppl. (Copenh).	Acta Endocrinol Suppl (Copenh)	
Acta Europaea Fertilitatis	Acta Eur. Fertil.	Acta Eur Fertil	
Acta Gastroenterologica Belgica	Acta Gastroenterol. Belg.	Acta Gastroenterol Belg	
Acta Gastroenterologica Latinoamericana	Acta Gastroenterol. Latinoam.	Acta Gastroenterol Latinoam	
Acta Genetica et Statistica Medica	Acta Genet. Stat. Med.	Acta Genet Stat Med	
Acta Geneticae Medicae et Gemellologiae	Acta Genet. Med. Gemellol. (Roma).	Acta Genet Med Gemellol (Roma)	
Acta Gerontologica	Acta Gerontol. (Milano).	Acta Gerontol (Milano)	
Acta Ginecologica	Acta Ginecol. (Madr).	Acta Ginecol (Madr)	
Acta Gynaecologica et Obstetrica Hispano-Lusitana	Acta Gynaecol. Obstet. Hisp. Lusit.	Acta Gynaecol Obstet Hisp Lusit	
Acta Haematologica	Acta Haematol.	Acta Haematol	
Acta Haematologica Polonica	Acta Haematol. Pol.	Acta Haematol Pol	
Acta Hepato-Gastroenterologica	Acta Hepatogastroenterol. (Stuttg).	Acta Hepatogastroenterol (Stuttg)	
Acta Hepato-Splenologica	Acta Hepatosplenol.	Acta Hepatosplenol	
Acta Histochemica	Acta Histochem.	Acta Histochem	
Acta Histochemica. Supplementband	Acta Histochem. Suppl.	Acta Histochem Suppl	
Acta Historica Scientiarum Naturalium et Medicinalium	Acta Hist. Sci. Nat. Med.	Acta Hist Sci Nat Med	
Acta Hospitalia	Acta Hosp.	Acta Hosp	
Acta Iberica Radiologica-Cancerologica	Acta Iber. Radiol. Cancerol.	Acta Iber Radiol Cancerol	
Acta Isotopica	Acta Isot. (Padova).	Acta Isot (Padova)	
Acta Leidensia	Acta Leiden.	Acta Leiden	
Acta Leprologica	Acta Leprol.	Acta Leprol	
Acta Medica Academiae Scientiarum Hungaricae	Acta Med. Acad. Sci. Hung.	Acta Med Acad Sci Hung	
Acta Medica Austriaca	Acta Med. Austriaca	Acta Med Austriaca	
Acta Medica Austriaca. Supplement	Acta Med. Austriaca. Suppl.	Acta Med Austriaca Suppl	
Acta Medica Croatica	Acta Med. Croatica	Acta Med Croatica	
Acta Medica et Biologica	Acta Med. Biol. (Niigata).	Acta Med Biol (Niigata)	
Acta Medica (Hradec Kralove)	Acta Medica (Hradec Kralove)	Acta Medica (Hradec Kralove)	
Acta Medica (Hradec Kralove). Supplementum / Universitas Carolina, Facultas Medica Hradec Kralove.	Acta Medica (Hradec Kralove). Suppl.	Acta Medica (Hradec Kralove) Suppl	
Acta Medica Hungarica	Acta Med. Hung.	Acta Med Hung	
Acta Medica Iranica	Acta Med. Iran.	Acta Med Iran	
Acta Medica Italica di Medicina Tropicale e Subtropicale e di Gastroenterologia	Acta Med. Ital. Med. Trop. Subtrop. Gastroenterol.	Acta Med Ital Med Trop Subtrop Gastroenterol	
Acta Medica Iugoslavica	Acta Med. Iugosl.	Acta Med Iugosl	
Acta Medica Nagasakiensia	Acta Med. Nagasaki.	Acta Med Nagasaki	
Acta Medica Okayama	Acta Med. Okayama	Acta Med Okayama	
Acta Medica Philippina	Acta Med. Philipp.	Acta Med Philipp	
Acta Medica Polona	Acta Med. Pol.	Acta Med Pol	
Acta Medica Portuguesa	Acta Med. Port.	Acta Med Port	
Acta Medica Scandinavica	Acta Med. Scand.	Acta Med Scand	
Acta Medica Scandinavica. Supplementum	Acta Med. Scand. Suppl.	Acta Med Scand Suppl	
Acta Medica Veterinaria	Acta Med. Vet. (Napoli).	Acta Med Vet (Napoli)	
Acta Medicinae Legalis et Socialis	Acta Med. Leg. Soc. (Liege).	Acta Med Leg Soc (Liege)	
Acta Microbiologica Academiae Scientiarum Hungaricae	Acta Microbiol. Acad. Sci. Hung.	Acta Microbiol Acad Sci Hung	
Acta Microbiologica Bulgarica	Acta Microbiol. Bulg.	Acta Microbiol Bulg	
Acta Microbiologica et Immunologica Hungarica	Acta Microbiol. Immunol. Hung.	Acta Microbiol Immunol Hung	
Acta Microbiologica Hungarica	Acta Microbiol. Hung.	Acta Microbiol Hung	
Acta Microbiologica Polonica	Acta Microbiol. Pol.	Acta Microbiol Pol	
Acta Microbiologica Polonica. Series A. Microbiologia Generalis	Acta Microbiol. Pol. A.	Acta Microbiol Pol A	
Acta Microbiologica Polonica. Series B. Microbiologia Applicata	Acta Microbiol. Pol. B.	Acta Microbiol Pol B	
Acta Microbiologica, Virologica et Immunologica	Acta Microbiol. Virol. Immunol. (Sofiia).	Acta Microbiol Virol Immunol (Sofiia)	
Acta Morphologica Academiae Scientiarum Hungaricae	Acta Morphol. Acad. Sci. Hung.	Acta Morphol Acad Sci Hung	
Acta Morphologica Hungarica	Acta Morphol. Hung.	Acta Morphol Hung	
Acta Morphologica Neerlando-Scandinavica	Acta Morphol. Neerl. Scand.	Acta Morphol Neerl Scand	
Acta Neurobiologiae Experimentalis	Acta Neurobiol. Exp. (Warsz).	Acta Neurobiol Exp (Warsz)	
Acta Neurochirurgica	Acta Neurochir. (Wien).	Acta Neurochir (Wien)	
Acta Neurochirurgica. Supplementum	Acta Neurochir. Suppl. (Wien).	Acta Neurochir Suppl (Wien)	
Acta Neurologica	Acta Neurol. (Napoli).	Acta Neurol (Napoli)	
Acta Neurologica Belgica	Acta Neurol. Belg.	Acta Neurol Belg	
Acta Neurologica et Psychiatrica Belgica	Acta Neurol. Psychiatr. Belg.	Acta Neurol Psychiatr Belg	
Acta Neurologica Latinoamericana	Acta Neurol. Latinoam.	Acta Neurol Latinoam	
Acta Neurologica. Quaderni	Acta Neurol. [Quad]. (Napoli).	Acta Neurol [Quad] (Napoli)	
Acta Neurologica Scandinavica	Acta Neurol. Scand.	Acta Neurol Scand	
Acta Neurologica Scandinavica. Supplementum	Acta Neurol. Scand. Suppl.	Acta Neurol Scand Suppl	
Acta Neuropathologica	Acta Neuropathol. (Berl).	Acta Neuropathol (Berl)	
Acta Neuropathologica. Supplement	Acta Neuropathol. Suppl. (Berl).	Acta Neuropathol Suppl (Berl)	
Acta Neurovegetativa	Acta Neuroveg. (Wien).	Acta Neuroveg (Wien)	
Acta Obstetrica et Gynaecologica Japonica	Acta Obstet. Gynaecol. Jpn.	Acta Obstet Gynaecol Jpn	
Acta Obstetrica y Ginecologica Hispano-Lusitana	Acta Obstet. Ginecol. Hisp. Lusit.	Acta Obstet Ginecol Hisp Lusit	
Acta Obstetrica y Ginecologica Hispano-Lusitana. Supplement	Acta Obstet. Ginecol. Hisp. Lusit. Suppl.	Acta Obstet Ginecol Hisp Lusit Suppl	
Acta Obstetricia et Gynecologica Scandinavica	Acta Obstet. Gynecol. Scand.	Acta Obstet Gynecol Scand	
Acta Obstetricia et Gynecologica Scandinavica. Supplement	Acta Obstet. Gynecol. Scand. Suppl.	Acta Obstet Gynecol Scand Suppl	
Acta Odontologica Latinoamericana	Acta Odontol. Latinoam.	Acta Odontol Latinoam	
Acta Odontologica Scandinavica	Acta Odontol. Scand.	Acta Odontol Scand	
Acta Odontologica Scandinavica. Supplementum	Acta Odontol. Scand. Suppl.	Acta Odontol Scand Suppl	
Acta Odontologica Venezolana	Acta Odontol. Venez.	Acta Odontol Venez	
Acta Oncologica	Acta Oncol.	Acta Oncol	
Acta Ophthalmologica	Acta Ophthalmol. (Copenh).	Acta Ophthalmol (Copenh)	
Acta Ophthalmologica Scandinavica	Acta Ophthalmol. Scand.	Acta Ophthalmol Scand	
Acta Ophthalmologica Scandinavica. Supplement	Acta Ophthalmol. Scand. Suppl.	Acta Ophthalmol Scand Suppl	
Acta Ophthalmologica. Supplement	Acta Ophthalmol. Suppl.	Acta Ophthalmol Suppl	
Acta Ophthalmologica. Supplementum	Acta Ophthalmol. Suppl.	Acta Ophthalmol Suppl	
Acta Orthopaedica Belgica	Acta Orthop. Belg.	Acta Orthop Belg	
Acta Orthopaedica Scandinavica	Acta Orthop. Scand.	Acta Orthop Scand	
Acta Orthopaedica Scandinavica. Supplementum	Acta Orthop. Scand. Suppl.	Acta Orthop Scand Suppl	
Acta Oto-Laryngologica	Acta Otolaryngol. (Stockh).	Acta Otolaryngol (Stockh)	
Acta Oto-Laryngologica. Supplement	Acta Otolaryngol. Suppl. (Stockh).	Acta Otolaryngol Suppl (Stockh)	
Acta Oto-Rhino-Laryngologica Belgica	Acta Otorhinolaryngol. Belg.	Acta Otorhinolaryngol Belg	
Acta Oto-Rino-Laringologica Ibero-Americana	Acta Otorinolaryngol. Iber. Am.	Acta Otorinolaryngol Iber Am	
Acta Otorhinolaryngologica Italica	Acta Otorhinolaryngol. Ital.	Acta Otorhinolaryngol Ital	
Acta Otorrinolaringologica Espanola	Acta Otorrinolaringol. Esp.	Acta Otorrinolaringol Esp	
Acta Paediatrica	Acta Paediatr.	Acta Paediatr	
Acta Paediatrica Academiae Scientiarum Hungaricae	Acta Paediatr. Acad. Sci. Hung.	Acta Paediatr Acad Sci Hung	
Acta Paediatrica Belgica	Acta Paediatr. Belg.	Acta Paediatr Belg	
Acta Paediatrica Hungarica	Acta Paediatr. Hung.	Acta Paediatr Hung	
Acta Paediatrica Japonica	Acta Paediatr. Jpn.	Acta Paediatr Jpn	
Acta Paediatrica Scandinavica	Acta Paediatr. Scand.	Acta Paediatr Scand	
Acta Paediatrica Scandinavica. Supplement	Acta Paediatr. Scand. Suppl.	Acta Paediatr Scand Suppl	
Acta Paediatrica. Supplement	Acta Paediatr. Suppl.	Acta Paediatr Suppl	
Acta Paedopsychiatrica	Acta Paedopsychiatr.	Acta Paedopsychiatr	
Acta Pathologica et Microbiologica Scandinavica	Acta Pathol. Microbiol. Scand.	Acta Pathol Microbiol Scand	
Acta Pathologica et Microbiologica Scandinavica. Section A, Pathology	Acta Pathol. Microbiol. Scand. [A].	Acta Pathol Microbiol Scand [A]	
Acta Pathologica et Microbiologica Scandinavica. Section B, Microbiology	Acta Pathol. Microbiol. Scand. [B].	Acta Pathol Microbiol Scand [B]	
Acta Pathologica et Microbiologica Scandinavica. Section B: Microbiology and Immunology	Acta Pathol. Microbiol. Scand. [B]. Microbiol. Immunol.	Acta Pathol Microbiol Scand [B] Microbiol Immunol	Acta Pathologica et Microbiologica Scandinavica. Section B: Microbiology & Immunology
Acta Pathologica et Microbiologica Scandinavica. Section C, Immunology	Acta Pathol. Microbiol. Scand. [C].	Acta Pathol Microbiol Scand [C]	
Acta Pathologica et Microbiologica Scandinavica. Supplement	Acta Pathol. Microbiol. Scand. Suppl.	Acta Pathol Microbiol Scand Suppl	
Acta Pathologica Japonica	Acta Pathol. Jpn.	Acta Pathol Jpn	
Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Section A, Pathology	Acta Pathol. Microbiol. Immunol. Scand. [A].	Acta Pathol Microbiol Immunol Scand [A]	
Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Section B, Microbiology	Acta Pathol. Microbiol. Immunol. Scand. [B].	Acta Pathol Microbiol Immunol Scand [B]	
Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Section C, Immunology	Acta Pathol. Microbiol. Immunol. Scand. [C].	Acta Pathol Microbiol Immunol Scand [C]	
Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Supplement	Acta Pathol. Microbiol. Immunol. Scand. Suppl.	Acta Pathol Microbiol Immunol Scand Suppl	
Acta Pediatrica Espanola	Acta Pediatr. Esp.	Acta Pediatr Esp	
Acta Pharmaceutica Hungarica	Acta Pharm. Hung.	Acta Pharm Hung	
Acta Pharmaceutica Nordica	Acta Pharm. Nord.	Acta Pharm Nord	
Acta Pharmaceutica Suecica	Acta Pharm. Suec.	Acta Pharm Suec	
Acta Pharmacologica et Toxicologica	Acta Pharmacol. Toxicol. (Copenh).	Acta Pharmacol Toxicol (Copenh)	
Acta Physiologica Academiae Scientiarum Hungaricae	Acta Physiol. Acad. Sci. Hung.	Acta Physiol Acad Sci Hung	
Acta Physiologica et Pharmacologica Bulgarica	Acta Physiol. Pharmacol. Bulg.	Acta Physiol Pharmacol Bulg	
Acta Physiologica et Pharmacologica Latinoamericana	Acta Physiol. Pharmacol. Latinoam.	Acta Physiol Pharmacol Latinoam	
Acta Physiologica et Pharmacologica Neerlandica	Acta Physiol. Pharmacol. Neerl.	Acta Physiol Pharmacol Neerl	
Acta Physiologica Hungarica	Acta Physiol. Hung.	Acta Physiol Hung	
Acta Physiologica Latinoamericana	Acta Physiol. Lat. Am.	Acta Physiol Lat Am	
Acta Physiologica, Pharmacologica et Therapeutica Latinoamericana	Acta Physiol. Pharmacol. Ther. Latinoam.	Acta Physiol Pharmacol Ther Latinoam	
Acta Physiologica Polonica	Acta Physiol. Pol.	Acta Physiol Pol	
Acta Physiologica Scandinavica	Acta Physiol. Scand.	Acta Physiol Scand	
Acta Physiologica Scandinavica. Supplementum	Acta Physiol. Scand. Suppl.	Acta Physiol Scand Suppl	
Acta Poloniae Pharmaceutica	Acta Pol. Pharm.	Acta Pol Pharm	
Acta Psiquiatrica y Psicologica de America Latina	Acta Psiquiatr. Psicol. Am. Lat.	Acta Psiquiatr Psicol Am Lat	
Acta Psychiatrica Belgica	Acta Psychiatr. Belg.	Acta Psychiatr Belg	
Acta Psychiatrica Scandinavica	Acta Psychiatr. Scand.	Acta Psychiatr Scand	
Acta Psychiatrica Scandinavica. Supplementum	Acta Psychiatr. Scand. Suppl.	Acta Psychiatr Scand Suppl	
Acta Psychologica	Acta Psychol. (Amst).	Acta Psychol (Amst)	
Acta Radiologica	Acta Radiol.	Acta Radiol	
Acta Radiologica: Diagnosis	Acta Radiol. Diagn. (Stockh).	Acta Radiol Diagn (Stockh)	
Acta Radiologica. Oncology	Acta Radiol. Oncol.	Acta Radiol Oncol	
Acta Radiologica: Oncology, Radiation, Physics, Biology	Acta Radiol. Oncol. Radiat. Phys. Biol.	Acta Radiol Oncol Radiat Phys Biol	
Acta Radiologica. Supplementum	Acta Radiol. Suppl.	Acta Radiol Suppl	
Acta Radiologica: Therapy, Physics, Biology	Acta Radiol. Ther. Phys. Biol.	Acta Radiol Ther Phys Biol	
Acta Rheumatologica Scandinavica	Acta Rheumatol. Scand.	Acta Rheumatol Scand	
Acta Rhumatologica	Acta Rhumatol.	Acta Rhumatol	
Acta Rhumatologica Belgica	Acta Rhumatol. Belg.	Acta Rhumatol Belg	
Acta Scholae Medicinalis Universitatis in Kioto	Acta Sch. Med. Univ. Kioto	Acta Sch Med Univ Kioto	
Acta Societatis Medicorum Upsaliensis	Acta Soc. Med. Ups.	Acta Soc Med Ups	
Acta Socio-Medica Scandinavica	Acta Sociomed. Scand.	Acta Sociomed Scand	
Acta Socio-Medica Scandinavica. Supplement	Acta Sociomed. Scand. Suppl.	Acta Sociomed Scand Suppl	
Acta Stomatologica Belgica	Acta Stomatol. Belg.	Acta Stomatol Belg	
Acta Stomatologica Croatica	Acta Stomatol. Croat.	Acta Stomatol Croat	
Acta Stomatologica Internationalia	Acta Stomatol. Int.	Acta Stomatol Int	
Acta Theriologica	Acta Theriol. (Warsz).	Acta Theriol (Warsz)	
Acta Tropica	Acta Trop.	Acta Trop	
Acta Tropica. Supplement	Acta Trop. Suppl.	Acta Trop Suppl	
Acta Tuberculosea et Pneumologica Belgica	Acta Tuberc. Pneumol. Belg.	Acta Tuberc Pneumol Belg	
Acta Tuberculosea et Pneumologica Scandinavica	Acta Tuberc. Pneumol. Scand.	Acta Tuberc Pneumol Scand	
Acta Tuberculosea Japonica	Acta Tuberc. Jpn.	Acta Tuberc Jpn	
Acta Universitatis Carolinae. Medica	Acta Univ. Carol. [Med]. (Praha).	Acta Univ Carol [Med] (Praha)	
Acta Universitatis Carolinae. Medica. Monographia	Acta Univ. Carol. Med. Monogr.	Acta Univ Carol Med Monogr	
Acta Universitatis Palackianae Olomucensis Facultatis Medicae	Acta Univ. Palacki. Olomuc. Fac. Med.	Acta Univ Palacki Olomuc Fac Med	
Acta Urologica Belgica	Acta Urol. Belg.	Acta Urol Belg	
Acta Veterinaria	Acta Vet. (Beogr).	Acta Vet (Beogr)	
Acta Veterinaria Academiae Scientiarum Hungaricae	Acta Vet. Acad. Sci. Hung.	Acta Vet Acad Sci Hung	
Acta Veterinaria Hungarica	Acta Vet. Hung.	Acta Vet Hung	
Acta Veterinaria Scandinavica	Acta Vet. Scand.	Acta Vet Scand	
Acta Veterinaria Scandinavica. Supplement	Acta Vet. Scand. Suppl.	Acta Vet Scand Suppl	
Acta Virologica	Acta Virol.	Acta Virol	
Acta Vitaminologica	Acta Vitaminol.	Acta Vitaminol	
Acta Vitaminologica et Enzymologica	Acta Vitaminol. Enzymol.	Acta Vitaminol Enzymol	
Acta Zoologica et Pathologica Antverpiensia	Acta Zool. Pathol. Antverp.	Acta Zool Pathol Antverp	
Actas Dermo-Sifiliograficas	Actas Dermosifiliogr.	Actas Dermosifiliogr	
Actas Espanolas de Psiquiatria : Acepsi	Actas Esp. Psiquiatr.	Actas Esp Psiquiatr	
Actas Luso-Espanolas de Neurologia, Psiquiatria y Ciencias Afines	Actas Luso. Esp. Neurol. Psiquiatr. Cienc. Afines	Actas Luso Esp Neurol Psiquiatr Cienc Afines	
Actas Luso-Espanolas de Neurologia y Psiquiatria	Actas Luso. Esp. Neurol. Psiquiatr.	Actas Luso Esp Neurol Psiquiatr	
Actas Urologicas Espanolas	Actas Urol. Esp.	Actas Urol Esp	
Activitas Nervosa Superior	Act. Nerv. Super. (Praha).	Act Nerv Super (Praha)	
Actualidad Pediatrica	Actual. Pediatr. (Granada).	Actual Pediatr (Granada)	
Actualites Cardiologiques et Angeiologiques Internationales	Actual. Cardiol. Angeiol. Int. (Paris).	Actual Cardiol Angeiol Int (Paris)	
Actualites de Physiologie Pathologique	Actual. Physiol. Pathol. (Paris).	Actual Physiol Pathol (Paris)	
Actualites Endocrinologiques	Actual. Endocrinol. (Paris).	Actual Endocrinol (Paris)	
Actualites Hepato-Gastro-Enterologiques	Actual. Hepatogastroenterol. (Paris).	Actual Hepatogastroenterol (Paris)	
Actualites Neurophysiologiques	Actual. Neurophysiol. (Paris).	Actual Neurophysiol (Paris)	
Actualites Odonto-Stomatologiques	Actual. Odontostomatol. (Paris).	Actual Odontostomatol (Paris)	
Actualites Pharmacologiques	Actual. Pharmacol. (Paris).	Actual Pharmacol (Paris)	
Acupuncture and Electro-Therapeutics Research	Acupunct. Electrother. Res.	Acupunct Electrother Res	Acupuncture & Electro-Therapeutics Research
Acute Care	Acute Care	Acute Care	
AD Nurse	AD Nurse	AD Nurse	
ADA News	ADA News	ADA News	
Addiction	Addiction	Addiction	
Addictive Behaviors	Addict. Behav.	Addict Behav	
Addictive Diseases	Addict. Dis.	Addict Dis	
Additamenta Ad Folia Medica Neerlandica	Additamenta Folia Med. Neerl.	Additamenta Folia Med Neerl	
ADM	ADM	ADM	
Administration and Policy in Mental Health	Adm. Policy Ment. Health	Adm Policy Ment Health	Administration & Policy in Mental Health
Administration in Mental Health	Adm. Ment. Health	Adm Ment Health	
Administration in Social Work	Adm. Soc. Work	Adm Soc Work	
Administrative Management	Adm. Manage.	Adm Manage	
Administrative Radiology	Adm. Radiol.	Adm Radiol	
Administrative Radiology Journal	Adm. Radiol. J.	Adm Radiol J	
Administrative Science Quarterly	Adm. Sci. Q.	Adm Sci Q	
Admitting Management Journal	Admit. Manage. J.	Admit Manage J	
Adolescence	Adolescence	Adolescence	
Adolescent Medicine	Adolesc. Med.	Adolesc Med	
Adolescent Psychiatry	Adolesc. Psychiatry	Adolesc Psychiatry	
Adult Education	Adult Educ.	Adult Educ	
Advance Data	Adv. Data	Adv Data	
Advance for Nurse Practitioners	Adv. Nurse Pract.	Adv Nurse Pract	
Advanced Practice Nursing Quarterly	Adv. Pract. Nurs. Q.	Adv Pract Nurs Q	
Advancement of Science	Adv. Sci.	Adv Sci	
Advances and Technical Standards in Neurosurgery	Adv. Tech. Stand. Neurosurg.	Adv Tech Stand Neurosurg	Advances & Technical Standards in Neurosurgery
Advances in Alcohol and Substance Abuse	Adv. Alcohol Subst. Abuse	Adv Alcohol Subst Abuse	Advances in Alcohol & Substance Abuse
Advances in Anatomic Pathology	Adv. Anat. Pathol.	Adv Anat Pathol	
Advances in Anatomy, Embryology and Cell Biology	Adv. Anat. Embryol. Cell Biol.	Adv Anat Embryol Cell Biol	Advances in Anatomy, Embryology & Cell Biology
Advances in Applied Microbiology	Adv. Appl. Microbiol.	Adv Appl Microbiol	
