Administrative Law Review	Admin. L. Rev.
Kentucky Law Journal	Ky. L.J.
Labor Lawyer	Lab. Law.
Law and Business Review of the Americas	Law & Bus. Rev. Am.
Law and Contemporary Problems	Law & Contemp. Probs.
Law and Critique	Law & Critique
Law and History Review	Law & Hist. Rev.
Law and Human Behavior	Law & Hum. Behav.
Law & Inequality	Law & Ineq.
Law and Literature	Law & Lit.
Law & Policy	Law & Pol'y
Law and Policy in International Business	Law & Pol'y Int'l Bus.
Law & Psychology Rev.	Law & Psychol. Rev.
Law & Sexuality: A Review of Lesbian, Gay, Bisexual and Transgender Legal Issues	Law & Sexuality
Law & Social Inquiry: Journal of the American Bar Foundation	Law & Soc. Inquiry
Law & Society Review	Law & Soc'y Rev.
Law in Japan	Law in Japan
Law Library Journal	Law Lib. J.
Law Text Culture	Law Text Culture
Legal Reference Services Quarterly	Legal Ref. Serv. Q.
Legal Studies Forum	Legal Stud. F.
Legal Writing: The Journal of the Legal Writing Institute	Legal Writing
Lewis & Clark Law Review	Lewis & Clark L. Rev.
Louisiana Law Review	La. L. Rev.
Loyola Consumer Law Review	Loy. Consumer L. Rev.
Loyola Journal of Public Interest Law	Loy. J. Pub. Int. L.
Loyola Law & Technology Annual	Loy. L. & Tech. Ann.
Loyola Law Review	Loy. L. Rev.
Loyola Maritime Law Journal	Loy. Mar. L.J.
Loyola of Los Angeles Entertainment Law Journal	Loy. L.A. Ent. L.J.
Loyola of Los Angeles International and Comparative Law Review	Loy. L.A. Int'l & Comp. L. Rev.
Loyola of Los Angeles Law Review	Loy. L.A. L. Rev.
Loyola University Chicago Law Journal	Loy. U. Chi. L.J.
Loyola University New Orleans Intellectual Property & High Technology Journal	Loy. U. N.O. Intell. Prop. & High Tech. J.
Maine Law Review	Me. L. Rev.
Marquette Elder's Advisor	Marq. Elder's Advisor
Marquette Intellectual Property Law Review	Marq. Intell. Prop. L. Rev.
Marquette Law Review	Marq. L. Rev.
Marquette Sports Law Journal: Journal of the National Sports Law Institute	Marq. Sports L.J.
Maryland Journal of International Law and Trade	Md. J. Int'l L. & Trade
Maryland Law Review	Md. L. Rev.
McGeorge Law Review	McGeorge L. Rev.
Media Law & Policy	Media L. & Pol'y
Mercer Law Review	Mercer L. Rev.
Michigan Journal of Gender & Law	Mich. J. Gender & L.
Michigan Journal of International Law	Mich. J. Int'l L.
Michigan Journal of Race & Law	Mich. J. Race & L.
Michigan Law Review	Mich. L. Rev.
Michigan State Journal of International Law	Mich. St. J. Int’l L.
Michigan State Law Review	Mich. St. L. Rev.
Michigan State University-DCL Journal of International Law	Mich. St. U.-DCL J. Int'l L.
Michigan Telecommunications and Technology Law Review	Mich. Telecomm. & Tech. L. Rev.
Minnesota Intellectual Property Review	Minn. Intell. Prop. Rev.
Minnesota Journal of International Law	Minn. J. Int'l L.
Minnesota Journal of Law, Science & Technology	Minn. J. L. Sci. & Tech.
Minnesota Law Review	Minn. L. Rev.
Mississippi College Law Review	Miss. C. L. Rev.
Mississippi Law Journal	Miss. L.J.
Missouri Environmental Law and Policy Review	Mo. Envtl. L. & Pol'y Rev.
Missouri Law Review	Mo. L. Rev.
Montana Law Review	Mont. L. Rev.
MSL Law Review	MSL L. Rev.
National Black Law Journal	Nat'l Black L.J.
Natural Resources Journal	Nat. Resources J.
Nebraska Law Review	Neb. L. Rev.
Nevada Law Journal	Nev. L.J.
New England Journal on Criminal and Civil Confinement	New Eng. J. on Crim. & Civ. Confinement
New England Journal of International and Comparative Law	New Eng. J. Int'l & Comp. L.
New England Law Review	New Eng. L. Rev.
New Mexico Law Review	N.M. L. Rev.
New York City Law Review	N.Y. City L. Rev.
New York Law School Journal of Human Rights	N.Y.L. Sch. J. Hum. Rts.
New York Law School Journal of International and Comparative Law	N.Y.L. Sch. J. Int'l. & Comp. L.
New York Law School Law Review	N.Y.L. Sch. L. Rev.
New York University Annual Survey of American Law	N.Y.U. Ann. Surv. Am. L.
New York University Environmental Law Journal	N.Y.U. Envtl. L.J.
New York University Journal of International Law and Politics	N.Y.U. J. Int'l L. & Pol.
New York University Journal of Law & Business	N.Y.U. J. L. & Bus.
New York University Journal of Legislation and Public Policy	N.Y.U. J. Legis. & Pub. Pol'y
New York University Law Review	N.Y.U. L. Rev.
New York University Review of Law & Social Change	N.Y.U. Rev. L. & Soc. Change
NEXUS: A Journal of Opinion	NEXUS
North Carolina Banking Institute	N.C. Bank. Inst.
North Carolina Central Law Journal	N.C. Cent. L.J.
North Carolina Journal of International Law and Commercial Regulation	N.C. J. Int'l L. & Com. Reg.
North Carolina Journal of Law & Technology	N.C. J.L. & Tech.
North Carolina Law Review	N.C. L. Rev.
North Dakota Law Review	N.D. L. Rev.
Northern Illinois University Law Review	N. Ill. U. L. Rev.
Northern Kentucky Law Review	N. Ky. L. Rev.
Northwestern Journal of International Law & Business	Nw. J. Int'l L. & Bus.
Northwestern University Law Review	Nw. U. L. Rev.
Notre Dame Journal of Law, Ethics & Public Policy	Notre Dame J.L. Ethics & Pub. Pol'y
Notre Dame Law Review	Notre Dame L. Rev.
Nova Law Review	Nova L. Rev.
NYU Journal of Law & Liberty	NYU J. L. & Liberty
Ocean and Coastal Law Journal	Ocean & Coastal L.J.
Ocean Development and International Law	Ocean Dev. & Int'l L.
Ohio Northern University Law Review	Ohio N.U. L. Rev.
Ohio State Journal of Criminal Law	Ohio St. J. Crim. L.
Ohio State Journal on Dispute Resolution	Ohio St. J. on Disp. Resol.
Ohio State Law Journal	Ohio St. L.J.
Oklahoma City University Law Review	Okla. City U. L. Rev.
Oklahoma Law Review	Okla. L. Rev.
Oregon Law Review	Or. L. Rev.
Oregon Review of International Law	Or. Rev. Int'l L.
Pace Environmental Law Review	Pace Envtl. L. Rev.
Pace International Law Review	Pace Int'l L. Rev.
Pace Law Review	Pace L. Rev.
Pacific Rim Law & Policy Journal	Pac. Rim L. & Pol'y J.
Penn St. Environmental Law Review	Penn St. Envtl. L. Rev.
Penn State International Law Review	Penn St. Int'l L. Rev.
Penn State Law Review	Penn St. L. Rev.
Pepperdine Dispute Resolution Law Journal	Pepp. Disp. Resol. L.J.
Pepperdine Law Review	Pepp. L. Rev.
Perspectives: Teaching Legal Research and Writing	Perspectives
Pittsburgh Tax Review	Pitt. Tax Rev.
Professional Lawyer: Symposium Issue	Prof. Law.(Symposium Issue)
Psychology, Public Policy, and Law	Psychol. Pub. Pol'y & L.
Public Contract Law Journal	Pub. Cont. L.J.
Public Land & Resources Law Review	Pub. Land & Resources L. Rev.
Quinnipiac Health Law	Quinnipiac Health L.
Quinnipiac Probate Law Journal	Quinnipiac Prob. L.J.
QLR	QLR
Real Property, Probate and Trust Journal	Real Prop. Prob. & Tr. J.
Regent University Law Review	Regent U. L. Rev.
Research in Law and Economics	Research in L. & Econ.
Review of Litigation	Rev. Litig.
Richmond Journal of Global Law and Business	Rich. J. Global L. & Bus.
Roger Williams University Law Review	Roger Willliams U. L. Rev.
Rutgers Computer and Technology Law Journal	Rutgers Computer & Tech. L.J.
Rutgers Law Journal	Rutgers L.J.
Rutgers Law Review	Rutgers L. Rev.
Rutgers Race and the Law Review	Rutgers Race & L. Rev.
St. John's Journal of Legal Commentary	St. John's J. Legal Comment.
St. John's Law Review	St. John's L. Rev.
Saint Louis University Law Journal	St. Louis U. L.J.
Saint Louis University Public Law Review	St. Louis U. Pub. L. Rev.
Saint Louis-Warsaw Transatlantic Law Journal	St. Louis-Warsaw Transatlantic L.J.
St. Mary's Law Journal	St. Mary's L.J.
St. Thomas Law Review	St. Thomas L. Rev.
San Diego International Law Journal	San Diego Int'l L.J.
San Diego Law Review	San Diego L. Rev.
Santa Clara Computer and High Technology Law Journal	Santa Clara Computer & High Tech. L.J.
Santa Clara Law Review	Santa Clara L. Rev.
Scholar: St. Mary's Law Review on Minority Issues	Scholar
Scribes Journal of Legal Writing	Scribes J. Legal Writing
Seattle Journal for Social Justice	Seattle J. for Soc. Just.
Seattle University Law Review	Seattle U. L. Rev.
Seton Hall Constitutional Law Journal	Seton Hall Const. L.J.
Seton Hall Journal of Sport Law	Seton Hall J. Sport L.
Seton Hall Law Review	Seton Hall L. Rev.
Seton Hall Legislative Journal	Seton Hall Legis. J.
SMU Law Review	SMU L. Rev.
South Carolina Law Review	S.C. L. Rev.
South Dakota Law Review	S.D. L. Rev.
South Texas Law Review	S. Tex. L. Rev.
Southeastern Environmental Law Journal	S.E. Envtl. L.J.
Southern California Interdisciplinary Law Journal	S. Cal. Interdisc. L.J.
Southern California Law Review	S. Cal. L. Rev.
Southern California Review of Law and Women's Studies	S. Cal. Rev. L. & Women's Stud.
Southern Illinois University Law Journal	S. Ill. U. L.J.
Southern University Law Review	S.U. L. Rev.
Southwestern Journal of Law and Trade in the Americas	Sw. J.L. & Trade Americas
Southwestern University Law Review	Sw. U. L. Rev.
Sports Lawyers Journal	Sports Law. J.
Stanford Environmental Law Journal	Stan. Envtl. L.J.
Stanford Journal of Civil Rights & Civil Liberties	Stan. J. C.R. & C.L.
Stanford Journal of International Law	Stan. J. Int'l L.
Stanford Journal of Law, Business & Finance	Stan. J.L. Bus. & Fin.
Stanford Law & Policy Review	Stan. L. & Pol'y Rev.
Stanford Law Review	Stan. L. Rev.
Stetson Law Review	Stetson L. Rev.
Suffolk Journal of Trial & Appellate Advocacy	Suffolk J. Trial & App. Advoc.
Suffolk Transnational Law Review	Suffolk Transnat'l L. Rev.
Suffolk University Law Review	Suffolk U.L. Rev.
Supreme Court Review	Sup. Ct. Rev.
Syracuse Journal of International Law and Commerce	Syracuse J. Int'l L. & Com.
Syracuse Law Review	Syracuse L. Rev.
Tax Law Review	Tax L. Rev.
Tax Lawyer	Tax Law.
Temple International and Comparative Law Journal	Temp. Int'l & Comp. L.J.
Temple Journal of Science, Technology & Environmental Law	Temp. J. Sci. Tech. & Envtl. L.
Temple Law Review	Temp. L. Rev.
Temple Political & Civil Rights Law Review	Temp. Pol. & Civ. Rts. L. Rev.
Tennessee Law Review	Tenn. L. Rev.
Texas Hispanic Journal of Law & Policy	Tex. Hisp. J.L. & Pol'y
Texas Intellectual Property Law Journal	Tex. Intell. Prop. L.J.
Texas International Law Journal	Tex. Int'l L.J.
Texas Journal of Civil Liberties & Civil Rights	Tex. J. on C.L. & C.R.
Texas Journal of Women and the Law	Tex. J. Women & L.
Texas Law Review	Tex. L. Rev.
Texas Review of Entertainment & Sports Law	Tex. Rev. Ent. & Sports L.
Texas Review of Law & Politics	Tex. Rev. L. & Pol.
Texas Tech Journal of Texas Administrative Law	Tex. Tech J. Tex. Admin. L.
Texas Tech Law Review	Tex. Tech L. Rev.
Texas Wesleyan Law Review	Tex. Wesleyan L. Rev.
Thomas Jefferson Law Review	T. Jefferson L. Rev.
Thomas M. Cooley Journal of Practical and Clinical Law	T.M. Cooley J. Prac. & Clin. L.
Thomas M. Cooley Law Review	T.M. Cooley L. Rev.
Thurgood Marshall Law Review	T. Marshall L. Rev.
Tort Trial & Insurance Practice Law Journal	Tort Trial & Ins. Prac. L.J.
Touro International Law Review	Touro Int'l L. Rev.
Touro Law Review	Touro L. Rev.
Transactions: The Tennessee Journal of Business Law	Transactions
Transnational Law & Contemporary Problems	Transnat'l L. & Contemp. Probs.
Transnational Lawyer	Transnat'l Law.
Transportation Law Journal	Transp. L.J.
Tulane Environmental Law Journal	Tul. Envtl. L.J.
Tulane European and Civil Law Forum	Tul. Eur. & Civ. L.F.
Tulane Journal of International and Comparative Law	Tul. J. Int'l & Comp. L.
Tulane Journal of Technology and Intellectual Property	Tul. J. Tech. & Intell. Prop.
Tulane Law Review	Tul. L. Rev.
Tulane Maritime Law Journal	Tul. Mar. L.J.
Tulsa Journal of Comparative and International Law	Tulsa J. Comp. & Int'l L.
Tulsa Law Review	Tulsa L. Rev.
UC Davis Journal of Juvenile Law & Policy	UC Davis J. Juv. L. & Pol'y
U.C. Davis Law Review	U.C. Davis L. Rev.
UCLA Asian Pacific American Law Journal	UCLA Asian Pac. Am. L.J.
UCLA Entertainment Law Review	UCLA Ent. L. Rev.
UCLA Journal of Environmental Law & Policy	UCLA J. Envtl. L. and Pol'y
UCLA Journal of International Law and Foreign Affairs	UCLA J. Int'l L. & Foreign Aff.
UCLA Journal of Islamic and Near Eastern Law	UCLA J. Islamic & Near E.L.
UCLA Law Review	UCLA L. Rev.
UCLA Pacific Basin Law Journal	UCLA Pac. Basin L.J.
UCLA Women's Law Journal	UCLA Women's L.J.
UMKC Law Review	UMKC L. Rev.
United States-Mexico Law Journal	U.S.-Mex. L.J.
University of Arkansas at Little Rock Law Review	U. Ark. Little Rock L. Rev.
University of Baltimore Intellectual Property Law Journal	U. Balt. Intell. Prop. L.J.
University of Baltimore Journal of Environmental Law	U. Balt. J. Envtl. L.
University of Baltimore Law Review	U. Balt. L. Rev.
University of California Davis Journal of International Law and Policy	U.C. Davis J. Int'l L. & Pol'y
University of Chicago Law Review	U. Chi. L. Rev.
University of Chicago Law School Roundtable	U. Chi. L. Sch. Roundtable
University of Chicago Legal Forum	U. Chi. Legal F.
