Cancer Research and Treatment	Cancer Res Treat
Journal of the Korean Pediatric Society	J Korean Pediatr Soc
Journal of the Korean Radiological Society	J Korean Radiol Soc
Journal of the Korean Rheumatism Association	J Korean Rheum Assoc
Journal of the Korean Society for Microbiology	J Korean Soc Microbiol
Journal of the Korean Society for Therapeutic Radiology	J Korean Soc Ther Radiol
Journal of the Korean Society for Therapeutic Radiology and Oncology	J Korean Soc Ther Radiol Oncol
Journal of the Korean Society for Transplantation	J Korean Soc Transplant
Journal of the Korean Society for Vascular Surgery	J Korean Soc Vasc Surg
Journal of the Korean Society of Aesthetic Plastic Surgery	J Korean Soc Aesthetic Plast Surg
Journal of the Korean Society of Coloproctology	J Korean Soc Coloproctol
Journal of the Korean Society of Echocardiography	J Korean Soc Echocardiogr
Journal of the Korean Society of Emergency Medicine	J Korean Soc Emerg Med
Journal of the Korean Society of Endocrinology	J Korean Soc Endocrinol
Journal of the Korean Society of Magnetic Resonance in Medicine	J Korean Soc Magn Reson Med
Journal of the Korean Society of Medical Ultrasound	J Korean Soc Med Ultrasound
Journal of the Korean Society of Neonatology	J Korean Soc Neonatol
Journal of the Korean Society of Pediatric Nephrology	J Korean Soc Pediatr Nephrol
Journal of the Korean Society of Plastic and Reconstructive Surgeons	J Korean Soc Plast Reconstr Surg
Journal of the Korean Society of Virology	J Korean Soc Virol
Journal of the Korean Surgical Society	J Korean Surg Soc
Journal of the Korean Vascular Surgery Society	J Korean Vasc Surg Soc
Korean Circulation Journal	Korean Circ J
Korean Journal of Aerospace and Environmental Medicine	Korean J Aerosp Environ Med
Korean Journal of Allergy	Korean J Allergy
Korean Journal of Anatomy	Korean J Anat
Korean Journal of Andrology	Korean J Androl
Korean Journal of Anesthesiology	Korean J Anesthesiol
Korean Journal of Blood Transfusion	Korean J Blood Transfus
Korean Journal of Cerebrovascular Disease	Korean J Cerebrovasc Dis
Korean Journal of Cerebrovascular Surgery	Korean J Cerebrovasc Surg
Korean Journal of Child Health Nursing	Korean J Child Health Nurs
Korean Journal of Clinical Pathology	Korean J Clin Pathol
Korean Journal of Critical Care Medicine	Korean J Crit Care Med
Korean Journal of Cytopathology	Korean J Cytopathol
Korean Journal of Dermatology	Korean J Dermatol
Korean Journal of Epidemiology	Korean J Epidemiol
Korean Journal of Fertility and Sterility	Korean J Fertil Steril
Korean Journal of Gastroenterology	Korean J Gastroenterol
Korean Journal of Gastrointestinal Endoscopy	Korean J Gastrointest Endosc
Korean Journal of Gastrointestinal Motility	Korean J Gastrointest Motil
Korean Journal of Hematology	Korean J Hematol
Korean Journal of Hepatology	Korean J Hepatol
Korean Journal of Immunology	Korean J Immunol
Korean Journal of Infectious Diseases	Korean J Infect Dis
Korean Journal of Internal Medicine	Korean J Intern Med
Korean Journal of Laboratory Medicine	Korean J Lab Med
Korean Journal of Legal Medicine	Korean J Leg Med
Korean Journal of Medical Education	Korean J Med Educ
Korean Journal of Medical History	Korean J Med Hist
Korean Journal of Medical Mycology	Korean J Med Mycol
Korean Journal of Medicine	Korean J Med
Korean Journal of Nephrology	Korean J Nephrol
Korean Journal of Nuclear Medicine	Korean J Nucl Med
Korean Journal of Obstetrics and Gynecology	Korean J Obstet Gynecol
Korean Journal of Occupational and Environmental Medicine	Korean J Occup Environ Med
Korean Journal of Ophthalmology	Korean J Ophthalmol
Korean Journal of Oral and Maxillofacial Radiology	Korean J Oral Maxillofac Radiol
Korean Journal of Otolaryngology - Head and Neck Surgery	Korean J Otolaryngol - Head Neck Surg
Korean Journal of Parasitology	Korean J Parasitol
Korean Journal of Pathology	Korean J Pathol
Korean Journal of Pediatric Hematology-Oncology	Korean J Pediatr Hematol-Oncol
Korean Journal of Pediatrics	Korean J Pediatr
Korean Journal of Perinatology	Korean J Perinatol
Korean Journal of Physiology and Pharmacology	Korean J Physiol Pharmacol
Korean Journal of Preventive Medicine	Korean J Prev Med
Korean Journal of Psychopharmacology	Korean J Psychopharmacol
Korean Journal of Radiology	Korean J Radiol
Korean Journal of Thoracic and Cardiovascular Surgery	Korean J Thorac Cardiovasc Surg
Korean Journal of Urology	Korean J Urol
Korean Journal of Women Health Nursing	Korean J Women Health Nurs
Pediatric Allergy and Respiratory Disease	Pediatr Allergy Respir Dis
Sleep Medicine and Psychophysiology	Sleep Med Psychophysiol
Tuberculosis and Respiratory Diseases	Tuberc Respir Dis
Yonsei Medical Journal	Yonsei Med J

